Código,Región,Nombre comuna,Número de personas según proyecciones de población (*),Número de personas en situación de pobreza por ingresos (**),Porcentaje de personas en situación de pobreza por ingresos 2022,Límite inferior (***),Límite superior,Presencia de la comuna en la muestra Casen,Tipo de estimación SAE (****)
5701,Valparaíso,San Felipe,85576.0,6007.0,0.07020009159942014,0.04363950867693044,0.09676067452190985,Sí,Directa y Sintética (Fay-Herriot)
5702,Valparaíso,Catemu,15528.0,1870.0,0.1204219901044855,0.07258409646075405,0.168259883748217,Sí,Directa y Sintética (Fay-Herriot)
5703,Valparaíso,Llaillay,27021.0,2482.0,0.09185904888894914,0.0505937787885305,0.1331243189893678,Sí,Directa y Sintética (Fay-Herriot)
5704,Valparaíso,Panquehue,7762.0,737.0,0.09489930883376847,0.05549468149254421,0.1343039361749927,Sí,Directa y Sintética (Fay-Herriot)
5705,Valparaíso,Putaendo,17884.0,1793.0,0.10026670029428,0.05078066133911004,0.14975273924945,Sí,Sintética
5706,Valparaíso,Santa María,16746.0,1490.0,0.08900295579648335,0.05108955103539601,0.1269163605575707,Sí,Directa y Sintética (Fay-Herriot)
5801,Valparaíso,Quilpué,171137.0,9494.0,0.05547451853066231,0.03623030812174348,0.07471872893958113,Sí,Directa y Sintética (Fay-Herriot)
5802,Valparaíso,Limache,51006.0,3508.0,0.0687725825529546,0.03710383736070731,0.1004413277452019,Sí,Directa y Sintética (Fay-Herriot)
5803,Valparaíso,Olmué,19878.0,1490.0,0.07496697583142214,0.04110909386656742,0.1088248577962769,Sí,Directa y Sintética (Fay-Herriot)
5804,Valparaíso,Villa Alemana,144303.0,6411.0,0.04442612322411763,0.02206137000027653,0.06679087644795874,Sí,Directa y Sintética (Fay-Herriot)
6101, O'Higgins,Rancagua,270994.0,17158.0,0.06331478989682579,0.04982878763330584,0.07680079216034574,Sí,Directa y Sintética (Fay-Herriot)
6102, O'Higgins,Codegua,14424.0,800.0,0.05548542612595471,0.01756098986606811,0.09340986238584131,Sí,Sintética
6103, O'Higgins,Coinco,7957.0,782.0,0.09821882569477522,0.05709593312920379,0.1393417182603466,Sí,Directa y Sintética (Fay-Herriot)
6104, O'Higgins,Coltauco,21816.0,2186.0,0.1002123568807099,0.0480802947216418,0.152344419039778,Sí,Sintética
6105, O'Higgins,Doñihue,23288.0,2110.0,0.09061546751777677,0.05576819150695216,0.1254627435286014,Sí,Directa y Sintética (Fay-Herriot)
6106, O'Higgins,Graneros,37562.0,1980.0,0.05272534982380029,0.0256488153866445,0.07980188426095608,Sí,Directa y Sintética (Fay-Herriot)
6107, O'Higgins,Las Cabras,27350.0,2072.0,0.07577006188229371,0.03752785033825236,0.1140122734263351,Sí,Directa y Sintética (Fay-Herriot)
6108, O'Higgins,Machalí,62947.0,1915.0,0.03042403007836555,0.01033395350378445,0.05051410665294664,Sí,Directa y Sintética (Fay-Herriot)
6109, O'Higgins,Malloa,14257.0,1396.0,0.09792245885499484,0.0479530072830021,0.1478919104269876,Sí,Sintética
6110, O'Higgins,Mostazal,28147.0,2059.0,0.0731439871895892,0.04065955598270433,0.1056284183964741,Sí,Directa y Sintética (Fay-Herriot)
6111, O'Higgins,Olivar,14869.0,1184.0,0.07963365547352402,0.04265092202337759,0.1166163889236705,Sí,Directa y Sintética (Fay-Herriot)
6112, O'Higgins,Peumo,15001.0,1158.0,0.07718469751227644,0.0444438388145414,0.1099255562100115,Sí,Directa y Sintética (Fay-Herriot)
6113, O'Higgins,Pichidegua,20969.0,2290.0,0.1092073031580498,0.06380134883478177,0.1546132574813179,Sí,Directa y Sintética (Fay-Herriot)
6114, O'Higgins,Quinta De Tilcoco,14134.0,1277.0,0.09036315425912916,0.04139411274234476,0.1393321957759136,Sí,Sintética
6115, O'Higgins,Rengo,65037.0,3534.0,0.05433068555487434,0.02900899821950213,0.07965237289024656,Sí,Directa y Sintética (Fay-Herriot)
6116, O'Higgins,Requínoa,31219.0,930.0,0.02979123229974102,0.005673943661597403,0.05390852093788463,Sí,Directa y Sintética (Fay-Herriot)
6117, O'Higgins,San Vicente,51677.0,4754.0,0.09198570254079973,0.05544372935125415,0.1285276757303453,Sí,Directa y Sintética (Fay-Herriot)
6201, O'Higgins,Pichilemu,18463.0,1269.0,0.06872415195130183,0.03299913598525818,0.1044491679173455,Sí,Directa y Sintética (Fay-Herriot)
6202, O'Higgins,La Estrella,3105.0,302.0,0.09728368546986366,0.04255317367480543,0.1520141972649219,Sí,Sintética
6203, O'Higgins,Litueche,6886.0,645.0,0.09372233190652567,0.04460083216599698,0.1428438316470544,Sí,Sintética
6204, O'Higgins,Marchihue,7684.0,703.0,0.09152807931565488,0.04200118385030527,0.1410549747810045,Sí,Sintética
6205, O'Higgins,Navidad,7050.0,868.0,0.1231394137656237,0.07707220373209231,0.169206623799155,Sí,Directa y Sintética (Fay-Herriot)
6206, O'Higgins,Paredones,6298.0,941.0,0.1493725761650852,0.08499296696379688,0.2137521853663735,Sí,Sintética
6301, O'Higgins,San Fernando,80197.0,5460.0,0.06808443290566933,0.04324543346101679,0.09292343235032187,Sí,Directa y Sintética (Fay-Herriot)
6302, O'Higgins,Chépica,16080.0,1426.0,0.08865056438840242,0.04371293743979553,0.1335881913370093,Sí,Directa y Sintética (Fay-Herriot)
6303, O'Higgins,Chimbarongo,38164.0,3254.0,0.08525440862625479,0.04873233068291179,0.1217764865695978,Sí,Directa y Sintética (Fay-Herriot)
6304, O'Higgins,Lolol,7396.0,848.0,0.1145996711178917,0.05721428968332282,0.1719850525524605,Sí,Sintética
6305, O'Higgins,Nancagua,19498.0,1738.0,0.08911187203227197,0.05401064510512136,0.1242130989594226,Sí,Directa y Sintética (Fay-Herriot)
6306, O'Higgins,Palmilla,13484.0,1095.0,0.08119808758839814,0.04164782822404778,0.1207483469527485,Sí,Directa y Sintética (Fay-Herriot)
6307, O'Higgins,Peralillo,12061.0,866.0,0.07181502243009433,0.0276663740217122,0.1159636708384765,Sí,Sintética
6308, O'Higgins,Placilla,9244.0,887.0,0.09593949771363816,0.04191242133387801,0.1499665740933983,Sí,Sintética
6309, O'Higgins,Pumanque,3523.0,436.0,0.1236410123484773,0.0656882112993892,0.1815938133975653,Sí,Sintética
6310, O'Higgins,Santa Cruz,42033.0,2817.0,0.06701959379957936,0.0359260666160202,0.09811312098313853,Sí,Directa y Sintética (Fay-Herriot)
7101,Maule,Talca,240239.0,13759.0,0.05727019677776846,0.04165687755027964,0.07288351600525728,Sí,Directa y Sintética (Fay-Herriot)
7102,Maule,Constitución,50536.0,5463.0,0.1081072542788957,0.07324391599485108,0.1429705925629403,Sí,Directa y Sintética (Fay-Herriot)
7103,Maule,Curepto,9255.0,1305.0,0.1409961701302721,0.08545458644956458,0.1965377538109797,Sí,Directa y Sintética (Fay-Herriot)
7104,Maule,Empedrado,4195.0,528.0,0.1258615159951405,0.06951626231903016,0.1822067696712508,Sí,Sintética
7105,Maule,Maule,65590.0,5951.0,0.09072496036521659,0.0561326066160823,0.1253173141143509,Sí,Directa y Sintética (Fay-Herriot)
7106,Maule,Pelarco,9289.0,1094.0,0.1177984450149211,0.0666143371094145,0.1689825529204276,Sí,Sintética
7107,Maule,Pencahue,8622.0,1008.0,0.1168547056300677,0.06446680591740428,0.1692426053427311,Sí,Sintética
7108,Maule,Río Claro,14984.0,1409.0,0.0940344211187788,0.04203465829836723,0.1460341839391904,Sí,Sintética
7109,Maule,San Clemente,47340.0,4984.0,0.1052914243377955,0.06711221813090507,0.1434706305446859,Sí,Directa y Sintética (Fay-Herriot)
7110,Maule,San Rafael,10231.0,1152.0,0.1126402723092326,0.0666465941662227,0.1586339504522424,Sí,Directa y Sintética (Fay-Herriot)
7201,Maule,Cauquenes,44334.0,5130.0,0.1157221024864185,0.07718489924303479,0.1542593057298022,Sí,Directa y Sintética (Fay-Herriot)
7202,Maule,Chanco,9287.0,1329.0,0.1431555836782915,0.09553573094902312,0.1907754364075599,Sí,Directa y Sintética (Fay-Herriot)
7203,Maule,Pelluhue,8311.0,1063.0,0.1278868865740387,0.07588425154712145,0.179889521600956,Sí,Directa y Sintética (Fay-Herriot)
7301,Maule,Curicó,168469.0,12254.0,0.07273449639652813,0.0520500956113106,0.09341889718174565,Sí,Directa y Sintética (Fay-Herriot)
7302,Maule,Hualañé,10231.0,942.0,0.09209534067128783,0.04109252703344079,0.1430981543091349,Sí,Sintética
7303,Maule,Licantén,6994.0,514.0,0.07352908912802301,0.02610768714835025,0.1209504911076958,Sí,Sintética
7304,Maule,Molina,51200.0,4030.0,0.07871885879024679,0.04357186907911285,0.1138658485013807,Sí,Directa y Sintética (Fay-Herriot)
7305,Maule,Rauco,11557.0,1210.0,0.1046940775833883,0.05357330095730965,0.1558148542094669,Sí,Sintética
7306,Maule,Romeral,16637.0,1273.0,0.07650278340054337,0.03418486284735406,0.1188207039537327,Sí,Sintética
7307,Maule,Sagrada Familia,19651.0,1722.0,0.08760605644640407,0.04046853768977472,0.1347435752030334,Sí,Sintética
7308,Maule,Teno,31493.0,2374.0,0.0753906417667139,0.03558844434552545,0.1151928391879024,Sí,Directa y Sintética (Fay-Herriot)
7309,Maule,Vichuquén,4348.0,379.0,0.08721674240505135,0.03578613285293274,0.13864735195717,Sí,Sintética
7401,Maule,Linares,102909.0,9117.0,0.08859195521691694,0.06215739685832535,0.1150265135755085,Sí,Directa y Sintética (Fay-Herriot)
7402,Maule,Colbún,23140.0,2733.0,0.1181205973029969,0.07284535714512617,0.1633958374608677,Sí,Directa y Sintética (Fay-Herriot)
7403,Maule,Longaví,33333.0,3870.0,0.1161055510284763,0.06867929786993629,0.1635318041870163,Sí,Directa y Sintética (Fay-Herriot)
7404,Maule,Parral,45211.0,4194.0,0.09277406472763614,0.0586620203653295,0.1268861090899428,Sí,Directa y Sintética (Fay-Herriot)
7405,Maule,Retiro,21331.0,2599.0,0.1218370057800926,0.07499970817714252,0.1686743033830427,Sí,Directa y Sintética (Fay-Herriot)
7406,Maule,San Javier,50703.0,4921.0,0.09705000274390138,0.05791159710042549,0.1361884083873773,Sí,Directa y Sintética (Fay-Herriot)
7407,Maule,Villa Alegre,17835.0,1743.0,0.09774061287489391,0.04758490476838383,0.147896320981404,Sí,Sintética
7408,Maule,Yerbas Buenas,19576.0,2265.0,0.1156975900531806,0.07058890833544573,0.1608062717709155,Sí,Directa y Sintética (Fay-Herriot)
8101,Biobío,Concepción,239074.0,12926.0,0.05406677251173651,0.03934960989383889,0.06878393512963414,Sí,Directa y Sintética (Fay-Herriot)
8102,Biobío,Coronel,127830.0,8025.0,0.06277480748510066,0.03991798612992158,0.08563162884027972,Sí,Directa y Sintética (Fay-Herriot)
8103,Biobío,Chiguayante,91687.0,5236.0,0.05710676982139559,0.03256531920472641,0.08164822043806477,Sí,Directa y Sintética (Fay-Herriot)
8104,Biobío,Florida,11869.0,1279.0,0.1077854627772424,0.06072883908157788,0.1548420864729069,Sí,Directa y Sintética (Fay-Herriot)
8105,Biobío,Hualqui,26558.0,2746.0,0.1033807937198529,0.06488665351994996,0.1418749339197559,Sí,Directa y Sintética (Fay-Herriot)
8106,Biobío,Lota,45553.0,3834.0,0.08415915034083185,0.05064345607654097,0.1176748446051227,Sí,Directa y Sintética (Fay-Herriot)
8107,Biobío,Penco,50090.0,3032.0,0.06053313693193336,0.03236075322371516,0.08870552064015155,Sí,Directa y Sintética (Fay-Herriot)
8108,Biobío,San Pedro De La Paz,150780.0,8172.0,0.05419591293707465,0.03528391685845134,0.07310790901569796,Sí,Directa y Sintética (Fay-Herriot)
8109,Biobío,Santa Juana,14855.0,1902.0,0.1280438568771017,0.07486971138460086,0.1812180023696024,Sí,Sintética
8110,Biobío,Talcahuano,158184.0,8040.0,0.0508274311371509,0.03089196743629725,0.07076289483800455,Sí,Directa y Sintética (Fay-Herriot)
8111,Biobío,Tomé,58999.0,4706.0,0.07976940720072444,0.05119282255226336,0.1083459918491855,Sí,Directa y Sintética (Fay-Herriot)
8112,Biobío,Hualpén,97776.0,3144.0,0.03215565444671543,0.009351657529875716,0.05495965136355516,Sí,Directa y Sintética (Fay-Herriot)
8201,Biobío,Lebu,27138.0,2856.0,0.1052461122573942,0.0653336883724541,0.1451585361423343,Sí,Directa y Sintética (Fay-Herriot)
8202,Biobío,Arauco,38861.0,3574.0,0.09196337778997375,0.05274461773247197,0.1311821378474755,Sí,Directa y Sintética (Fay-Herriot)
8203,Biobío,Cañete,37296.0,4950.0,0.1327324636700346,0.08525872135515339,0.1802062059849159,Sí,Directa y Sintética (Fay-Herriot)
8204,Biobío,Contulmo,6354.0,781.0,0.1229370962304697,0.07783385902340915,0.1680403334375302,Sí,Directa y Sintética (Fay-Herriot)
8205,Biobío,Curanilahue,33936.0,2879.0,0.08483693561802849,0.04705576150842185,0.1226181097276351,Sí,Directa y Sintética (Fay-Herriot)
8206,Biobío,Los Álamos,22801.0,2532.0,0.1110636110482628,0.06804448008921177,0.1540827420073138,Sí,Directa y Sintética (Fay-Herriot)
8207,Biobío,Tirúa,11078.0,2225.0,0.2008124298944406,0.148323044590407,0.2533018151984742,Sí,Directa y Sintética (Fay-Herriot)
8301,Biobío,Los Ángeles,221851.0,18753.0,0.08453032224259051,0.06307609244131056,0.1059845520438705,Sí,Directa y Sintética (Fay-Herriot)
8302,Biobío,Antuco,4318.0,624.0,0.1445153956231243,0.08831283532855876,0.2007179559176898,Sí,Sintética
8303,Biobío,Cabrero,30973.0,3206.0,0.1035195465766158,0.06209429129300163,0.1449448018602299,Sí,Directa y Sintética (Fay-Herriot)
8304,Biobío,Laja,23909.0,2693.0,0.1126259380668065,0.06849416399755652,0.1567577121360565,Sí,Directa y Sintética (Fay-Herriot)
8305,Biobío,Mulchén,31099.0,3782.0,0.1216238491587788,0.07488276016839568,0.168364938149162,Sí,Directa y Sintética (Fay-Herriot)
8306,Biobío,Nacimiento,28003.0,3073.0,0.109726027871444,0.0647232688633718,0.1547287868795161,Sí,Directa y Sintética (Fay-Herriot)
8307,Biobío,Negrete,10527.0,1047.0,0.09945547522983768,0.05161355865719523,0.1472973918024801,Sí,Sintética
8308,Biobío,Quilaco,4182.0,545.0,0.1302699543346095,0.07064961157338392,0.1898902970958351,Sí,Sintética
8309,Biobío,Quilleco,10006.0,1349.0,0.1348236293186302,0.07547762647884637,0.194169632158414,Sí,Sintética
8310,Biobío,San Rosendo,3569.0,392.0,0.1097114228804065,0.05740073153752299,0.16202211422329,Sí,Sintética
8311,Biobío,Santa Bárbara,14648.0,2159.0,0.1474064808854524,0.1008769983588821,0.1939359634120226,Sí,Directa y Sintética (Fay-Herriot)
8312,Biobío,Tucapel,15340.0,1680.0,0.1095376758567159,0.06960075877074508,0.1494745929426868,Sí,Directa y Sintética (Fay-Herriot)
8313,Biobío,Yumbel,22180.0,2786.0,0.1255900304518519,0.07711934613172057,0.1740607147719833,Sí,Directa y Sintética (Fay-Herriot)
8314,Biobío,Alto Biobío,6784.0,1500.0,0.2211119832696153,0.1649575959693683,0.2772663705698623,Sí,Directa y Sintética (Fay-Herriot)
9101,La Araucanía,Temuco,307099.0,26372.0,0.08587311346858956,0.06982136054962226,0.1019248663875569,Sí,Directa y Sintética (Fay-Herriot)
9102,La Araucanía,Carahue,25516.0,4571.0,0.1791262112929498,0.1226242091059754,0.2356282134799242,Sí,Directa y Sintética (Fay-Herriot)
9103,La Araucanía,Cunco,18059.0,2674.0,0.1480947838943408,0.1013924642179636,0.1947971035707179,Sí,Directa y Sintética (Fay-Herriot)
9104,La Araucanía,Curarrehue,7842.0,1193.0,0.1521925567262996,0.1050172819821224,0.1993678314704768,Sí,Directa y Sintética (Fay-Herriot)
9105,La Araucanía,Freire,25479.0,3672.0,0.1441236436286287,0.09927604867605086,0.1889712385812066,Sí,Directa y Sintética (Fay-Herriot)
9106,La Araucanía,Galvarino,12594.0,2111.0,0.1675842073730385,0.1089143409680895,0.2262540737779875,Sí,Directa y Sintética (Fay-Herriot)
9107,La Araucanía,Gorbea,15089.0,1925.0,0.12754527656974,0.08081258447133097,0.1742779686681491,Sí,Directa y Sintética (Fay-Herriot)
9108,La Araucanía,Lautaro,41460.0,3654.0,0.08813353056098992,0.05160237856763168,0.1246646825543482,Sí,Directa y Sintética (Fay-Herriot)
9109,La Araucanía,Loncoche,24780.0,3042.0,0.1227706099754267,0.07512205261540426,0.1704191673354491,Sí,Directa y Sintética (Fay-Herriot)
9110,La Araucanía,Melipeuco,6299.0,987.0,0.1566905777888791,0.1075860382194656,0.2057951173582926,Sí,Directa y Sintética (Fay-Herriot)
9111,La Araucanía,Nueva Imperial,34018.0,4364.0,0.1282838681912552,0.0839100707997666,0.1726576655827439,Sí,Directa y Sintética (Fay-Herriot)
9112,La Araucanía,Padre Las Casas,84144.0,10688.0,0.1270210990427323,0.0946588166378568,0.1593833814476078,Sí,Directa y Sintética (Fay-Herriot)
9113,La Araucanía,Perquenco,7259.0,1027.0,0.1414140149910871,0.08447818270664004,0.1983498472755342,Sí,Sintética
9114,La Araucanía,Pitrufquén,26418.0,2820.0,0.1067562143921306,0.06688226138876563,0.1466301673954956,Sí,Directa y Sintética (Fay-Herriot)
